begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/17 18:37

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.322784328099949e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.32278433e-09   0.100    40.00000 2020/06/24 19:45 2020/06/24 19:55
FAP2  1 V         0.000 799 Input units: m/s         
    8.12000  1.32344799e+08 -177
    8.14000  1.32338663e+08 -177
    8.16000  1.32265898e+08 -177
    8.18000  1.32220069e+08 -177
    8.20000  1.32357066e+08 -177
    8.22000  1.32241267e+08 -177
    8.24000  1.32308480e+08 -177
    8.26000  1.32260594e+08 -178
    8.28000  1.32288325e+08 -178
    8.30000  1.32388771e+08 -178
    8.32000  1.32402640e+08 -178
    8.34000  1.32282521e+08 -178
    8.36000  1.32284230e+08 -178
    8.38000  1.32343416e+08 -178
    8.40000  1.32375869e+08 -178
    8.42000  1.32162156e+08 -178
    8.44000  1.32265294e+08 -178
    8.46000  1.32306807e+08 -178
    8.48000  1.32287417e+08 -178
    8.50000  1.32224198e+08 -178
    8.52000  1.32348467e+08 -178
    8.54000  1.32397162e+08 -178
    8.56000  1.32325433e+08 -178
    8.58000  1.32420844e+08 -178
    8.60000  1.32393712e+08 -178
    8.62000  1.32239590e+08 -178
    8.64000  1.32321697e+08 -178
    8.66000  1.32274826e+08 -178
    8.68000  1.32247483e+08 -178
    8.70000  1.32267552e+08 -179
    8.72000  1.32346044e+08 -179
    8.74000  1.32300357e+08 -179
    8.76000  1.32360111e+08 -179
    8.78000  1.32320362e+08 -179
    8.80000  1.32277244e+08 -179
    8.82000  1.32192490e+08 -179
    8.84000  1.32243777e+08 -179
    8.86000  1.32266073e+08 -179
    8.88000  1.32254607e+08 -179
    8.90000  1.32271348e+08 -179
    8.92000  1.32238319e+08 -179
    8.94000  1.32238715e+08 -179
    8.96000  1.32279047e+08 -179
    8.98000  1.32302884e+08 -179
    9.00000  1.32278190e+08 -179
    9.02000  1.32271289e+08 -179
    9.04000  1.32208604e+08 -179
    9.06000  1.32114915e+08 -179
    9.08000  1.32116091e+08 -179
    9.10000  1.32113115e+08 -179
    9.12000  1.32133129e+08 -179
    9.14000  1.32266994e+08 -179
    9.16000  1.32197719e+08 -179
    9.18000  1.32071978e+08 -179
    9.20000  1.32267868e+08 -180
    9.22000  1.32295959e+08 -180
    9.24000  1.32198219e+08 -180
    9.26000  1.32159829e+08 -180
    9.28000  1.32042109e+08 -180
    9.30000  1.32074633e+08 -180
    9.32000  1.32071042e+08 -180
    9.34000  1.32225523e+08 -180
    9.36000  1.32124957e+08 -180
    9.38000  1.32068694e+08 -180
    9.40000  1.32071118e+08 -180
    9.42000  1.32136794e+08 -180
    9.44000  1.31991629e+08  180
    9.46000  1.31954099e+08  180
    9.48000  1.31901686e+08  180
    9.50000  1.31837281e+08  180
    9.52000  1.31896288e+08  180
    9.54000  1.32087636e+08  180
    9.56000  1.32079673e+08  180
    9.58000  1.31969439e+08  180
    9.60000  1.32003639e+08  180
    9.62000  1.32077238e+08  180
    9.64000  1.32029215e+08  180
    9.66000  1.31941022e+08  180
    9.68000  1.31969970e+08  179
    9.70000  1.31959067e+08  180
    9.72000  1.31913290e+08  180
    9.74000  1.31954416e+08  179
    9.76000  1.32084089e+08  179
    9.78000  1.32003679e+08  179
    9.80000  1.31911414e+08  179
    9.82000  1.31929481e+08  179
    9.84000  1.32009760e+08  179
    9.86000  1.32058690e+08  179
    9.88000  1.32022919e+08  179
    9.90000  1.31678941e+08  179
    9.92000  1.31619340e+08  179
    9.94000  1.31770586e+08  179
    9.96000  1.31974798e+08  179
    9.98000  1.31951195e+08  179
   10.00000  1.31808098e+08  179
   10.02000  1.31904039e+08  179
   10.04000  1.31798648e+08  179
   10.06000  1.31784164e+08  179
   10.08000  1.31823626e+08  179
   10.10000  1.31763595e+08  179
   10.12000  1.31777743e+08  179
   10.14000  1.31750767e+08  179
   10.16000  1.31845544e+08  179
   10.18000  1.31762877e+08  179
   10.20000  1.31758463e+08  179
   10.22000  1.31782974e+08  179
   10.24000  1.31651318e+08  178
   10.26000  1.31723679e+08  178
   10.28000  1.31741476e+08  178
   10.30000  1.31671703e+08  178
   10.32000  1.31682941e+08  178
   10.34000  1.31651142e+08  178
   10.36000  1.31644984e+08  178
   10.38000  1.31711995e+08  178
   10.40000  1.31757052e+08  178
   10.42000  1.31725790e+08  178
   10.44000  1.31577198e+08  178
   10.46000  1.31429702e+08  178
   10.48000  1.31461117e+08  178
   10.50000  1.31481841e+08  178
   10.52000  1.31447092e+08  178
   10.54000  1.31493766e+08  178
   10.56000  1.31582515e+08  178
   10.58000  1.31482118e+08  178
   10.60000  1.31470169e+08  178
   10.62000  1.31395645e+08  178
   10.64000  1.31408654e+08  178
   10.66000  1.31337482e+08  178
   10.68000  1.31348034e+08  178
   10.70000  1.31424403e+08  178
   10.72000  1.31418140e+08  178
   10.74000  1.31420898e+08  177
   10.76000  1.31380740e+08  178
   10.78000  1.31227480e+08  177
   10.80000  1.31328702e+08  177
   10.82000  1.31358791e+08  177
   10.84000  1.31217574e+08  177
   10.86000  1.31265108e+08  177
   10.88000  1.31176274e+08  177
   10.90000  1.31163808e+08  177
   10.92000  1.31294491e+08  177
   10.94000  1.31233157e+08  177
   10.96000  1.31208845e+08  177
   10.98000  1.31312607e+08  177
   11.00000  1.31284092e+08  177
   11.02000  1.31191984e+08  177
   11.04000  1.31153762e+08  177
   11.06000  1.31102372e+08  177
   11.08000  1.31186941e+08  177
   11.10000  1.31192684e+08  177
   11.12000  1.31170747e+08  177
   11.14000  1.31169963e+08  177
   11.16000  1.31140914e+08  177
   11.18000  1.30943419e+08  177
   11.20000  1.30898785e+08  177
   11.22000  1.31095359e+08  177
   11.24000  1.31121609e+08  177
   11.26000  1.31056462e+08  177
   11.28000  1.31132973e+08  177
   11.30000  1.31190800e+08  177
   11.32000  1.30952604e+08  177
