begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/21 00:56

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 0.008881
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    8.88100085e-03   0.100    40.00000 2020/01/10 15:29 2020/01/10 15:39
FAP2  1 V         0.000 799 Input units: m/s         
    9.32000  6.43099786e+01    1
    9.34000  6.43321267e+01    1
    9.36000  6.43471213e+01    1
    9.38000  6.44034150e+01    1
    9.40000  6.44817992e+01    1
    9.42000  6.43847996e+01    1
    9.44000  6.43470878e+01    1
    9.46000  6.43108355e+01    1
    9.48000  6.44102101e+01    1
    9.50000  6.42883012e+01    1
    9.52000  6.43096514e+01    1
    9.54000  6.44436886e+01    1
    9.56000  6.43975109e+01    1
    9.58000  6.43320519e+01    1
    9.60000  6.43289706e+01    0
    9.62000  6.42689831e+01    0
    9.64000  6.42855666e+01    0
    9.66000  6.41673498e+01    0
    9.68000  6.43056836e+01    0
    9.70000  6.42467169e+01    0
    9.72000  6.42713177e+01    0
    9.74000  6.43093980e+01    0
    9.76000  6.43340448e+01    0
    9.78000  6.43383630e+01    0
    9.80000  6.42909489e+01    0
    9.82000  6.42771396e+01    0
    9.84000  6.41187380e+01    0
    9.86000  6.41666953e+01    0
    9.88000  6.42439346e+01   -0
    9.90000  6.43002314e+01   -0
    9.92000  6.41911691e+01   -0
    9.94000  6.39975106e+01   -0
    9.96000  6.40253946e+01   -0
    9.98000  6.41627317e+01   -0
   10.00000  6.41569557e+01   -0
   10.02000  6.40568790e+01   -0
   10.04000  6.40829850e+01   -0
   10.06000  6.40282023e+01   -0
   10.08000  6.40827234e+01   -0
   10.10000  6.39787737e+01   -1
   10.12000  6.39771853e+01   -0
   10.14000  6.40001094e+01   -0
   10.16000  6.38664970e+01   -0
   10.18000  6.39874956e+01   -1
   10.20000  6.40941064e+01   -1
   10.22000  6.41577707e+01   -1
   10.24000  6.40488658e+01   -1
   10.26000  6.38596831e+01   -1
   10.28000  6.38816084e+01   -1
   10.30000  6.39954802e+01   -1
   10.32000  6.39692209e+01   -1
   10.34000  6.38896074e+01   -1
   10.36000  6.39962347e+01   -1
   10.38000  6.38376899e+01   -1
   10.40000  6.37881564e+01   -1
   10.42000  6.37403373e+01   -1
   10.44000  6.38085399e+01   -1
   10.46000  6.39130002e+01   -1
   10.48000  6.39425186e+01   -1
   10.50000  6.39741063e+01   -1
   10.52000  6.38352001e+01   -1
   10.54000  6.38229782e+01   -1
   10.56000  6.38210440e+01   -1
   10.58000  6.38504389e+01   -1
   10.60000  6.37512167e+01   -1
   10.62000  6.37024511e+01   -1
   10.64000  6.38262701e+01   -1
   10.66000  6.38415524e+01   -1
   10.68000  6.37555886e+01   -2
   10.70000  6.37041055e+01   -1
   10.72000  6.37487692e+01   -1
   10.74000  6.38028198e+01   -1
   10.76000  6.36359176e+01   -2
   10.78000  6.36997062e+01   -2
   10.80000  6.37794346e+01   -2
   10.82000  6.37076357e+01   -2
   10.84000  6.37367810e+01   -2
   10.86000  6.37472906e+01   -2
   10.88000  6.37502507e+01   -2
   10.90000  6.37047151e+01   -2
   10.92000  6.37121440e+01   -2
   10.94000  6.36448206e+01   -2
   10.96000  6.35801695e+01   -2
   10.98000  6.34855141e+01   -2
   11.00000  6.34879087e+01   -2
   11.02000  6.35789888e+01   -2
   11.04000  6.35489697e+01   -2
   11.06000  6.36155065e+01   -2
   11.08000  6.37153416e+01   -2
   11.10000  6.37265104e+01   -2
   11.12000  6.36815512e+01   -2
   11.14000  6.35581313e+01   -2
   11.16000  6.35086902e+01   -2
   11.18000  6.35420335e+01   -2
   11.20000  6.34969195e+01   -2
   11.22000  6.35058376e+01   -2
   11.24000  6.34311169e+01   -2
   11.26000  6.34895668e+01   -3
   11.28000  6.34782484e+01   -2
   11.30000  6.34131787e+01   -2
   11.32000  6.34582383e+01   -2
   11.34000  6.34781548e+01   -2
   11.36000  6.34167904e+01   -2
   11.38000  6.34251182e+01   -3
   11.40000  6.32829390e+01   -3
   11.42000  6.32021839e+01   -3
   11.44000  6.32441446e+01   -3
   11.46000  6.34460624e+01   -3
   11.48000  6.34891783e+01   -3
   11.50000  6.34139027e+01   -3
   11.52000  6.34226458e+01   -3
   11.54000  6.33869251e+01   -3
   11.56000  6.34190779e+01   -3
   11.58000  6.31752493e+01   -3
   11.60000  6.32401926e+01   -3
   11.62000  6.33057855e+01   -3
   11.64000  6.33171082e+01   -3
   11.66000  6.31731521e+01   -3
   11.68000  6.31211507e+01   -3
   11.70000  6.30740581e+01   -3
   11.72000  6.31238926e+01   -3
   11.74000  6.30378366e+01   -3
   11.76000  6.31154119e+01   -3
   11.78000  6.32705934e+01   -3
   11.80000  6.31596467e+01   -3
   11.82000  6.32386809e+01   -3
   11.84000  6.31283976e+01   -3
   11.86000  6.30592490e+01   -3
   11.88000  6.29780715e+01   -3
   11.90000  6.30450528e+01   -3
   11.92000  6.30947966e+01   -3
   11.94000  6.30524093e+01   -3
   11.96000  6.29088649e+01   -3
   11.98000  6.29438608e+01   -3
   12.00000  6.29193101e+01   -4
   12.02000  6.29761382e+01   -4
   12.04000  6.29547550e+01   -4
   12.06000  6.29473370e+01   -4
   12.08000  6.30063952e+01   -4
   12.10000  6.29866953e+01   -4
   12.12000  6.30231208e+01   -4
   12.14000  6.29412048e+01   -4
   12.16000  6.28538051e+01   -4
   12.18000  6.28826347e+01   -4
   12.20000  6.28405852e+01   -4
   12.22000  6.29071033e+01   -4
   12.24000  6.28660715e+01   -4
   12.26000  6.27857051e+01   -4
   12.28000  6.27525210e+01   -4
   12.30000  6.27065907e+01   -4
   12.32000  6.27240179e+01   -4
   12.34000  6.27958767e+01   -4
   12.36000  6.28037139e+01   -4
   12.38000  6.28816476e+01   -4
   12.40000  6.27380663e+01   -4
   12.42000  6.27489308e+01   -4
   12.44000  6.27175709e+01   -4
   12.46000  6.26369803e+01   -4
   12.48000  6.26964546e+01   -4
   12.50000  6.27186282e+01   -4
   12.52000  6.27333176e+01   -4
   12.54000  6.28172467e+01   -4
   12.56000  6.27767016e+01   -4
   12.58000  6.26459157e+01   -4
   12.60000  6.27159829e+01   -4
   12.62000  6.26867921e+01   -4
   12.64000  6.26788997e+01   -4
   12.66000  6.26570890e+01   -4
   12.68000  6.26751822e+01   -4
   12.70000  6.25253266e+01   -4
   12.72000  6.24278768e+01   -4
   12.74000  6.25270975e+01   -4
   12.76000  6.25296966e+01   -4
   12.78000  6.25131128e+01   -5
   12.80000  6.24818582e+01   -5
   12.82000  6.24841650e+01   -5
   12.84000  6.24859415e+01   -5
   12.86000  6.25509533e+01   -5
   12.88000  6.24460167e+01   -5
   12.90000  6.23619916e+01   -5
   12.92000  6.23688044e+01   -5
   12.94000  6.23537705e+01   -5
   12.96000  6.23628687e+01   -5
   12.98000  6.22679006e+01   -5
   13.00000  6.22372131e+01   -5
   13.02000  6.22605382e+01   -5
   13.04000  6.22477364e+01   -5
   13.06000  6.23548633e+01   -5
   13.08000  6.22608275e+01   -5
   13.10000  6.21788651e+01   -5
   13.12000  6.22624501e+01   -5
   13.14000  6.22891138e+01   -5
   13.16000  6.22289401e+01   -5
   13.18000  6.20996315e+01   -5
   13.20000  6.21450359e+01   -5
   13.22000  6.23081764e+01   -5
   13.24000  6.22064063e+01   -5
   13.26000  6.21229171e+01   -5
   13.28000  6.20980502e+01   -5
   13.30000  6.20556381e+01   -5
   13.32000  6.20917945e+01   -5
   13.34000  6.20587672e+01   -5
   13.36000  6.20762880e+01   -5
   13.38000  6.20536601e+01   -5
   13.40000  6.20515119e+01   -5
   13.42000  6.20653776e+01   -6
   13.44000  6.20749754e+01   -5
   13.46000  6.20261011e+01   -5
   13.48000  6.19444994e+01   -6
   13.50000  6.19193002e+01   -6
   13.52000  6.19729808e+01   -5
   13.54000  6.19983131e+01   -6
   13.56000  6.19578059e+01   -5
   13.58000  6.19252049e+01   -5
   13.60000  6.19067624e+01   -6
   13.62000  6.19087650e+01   -6
   13.64000  6.19414795e+01   -6
   13.66000  6.18551392e+01   -6
   13.68000  6.19519766e+01   -6
   13.70000  6.19082854e+01   -6
   13.72000  6.18498487e+01   -6
   13.74000  6.16689767e+01   -6
   13.76000  6.16295330e+01   -6
   13.78000  6.17713650e+01   -6
   13.80000  6.17191018e+01   -6
   13.82000  6.17558140e+01   -6
   13.84000  6.16866794e+01   -6
   13.86000  6.17091617e+01   -6
   13.88000  6.17576535e+01   -6
   13.90000  6.16644692e+01   -6
   13.92000  6.16502205e+01   -6
   13.94000  6.16097765e+01   -6
   13.96000  6.15926993e+01   -6
   13.98000  6.16661267e+01   -6
   14.00000  6.16845910e+01   -6
   14.02000  6.16233691e+01   -6
   14.04000  6.16247852e+01   -6
   14.06000  6.16411996e+01   -6
   14.08000  6.16422759e+01   -6
   14.10000  6.15749274e+01   -6
   14.12000  6.15902458e+01   -6
   14.14000  6.14956792e+01   -6
   14.16000  6.15010658e+01   -6
   14.18000  6.15142620e+01   -6
   14.20000  6.14162574e+01   -6
   14.22000  6.14278936e+01   -6
   14.24000  6.15329222e+01   -6
   14.26000  6.15939141e+01   -6
   14.28000  6.14854513e+01   -6
