begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2022/11/30 19:09

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.1927020719191555e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.19270207e-09   0.100    40.00000 2020/05/27 20:00 2020/05/27 20:10
FAP2  1 V         0.000 799 Input units: m/s         
    8.32000  1.36643741e+08 -178
    8.34000  1.36549575e+08 -178
    8.36000  1.36569980e+08 -178
    8.38000  1.36607684e+08 -178
    8.40000  1.36637996e+08 -178
    8.42000  1.36415851e+08 -178
    8.44000  1.36508647e+08 -178
    8.46000  1.36502784e+08 -178
    8.48000  1.36482121e+08 -178
    8.50000  1.36413439e+08 -178
    8.52000  1.36466877e+08 -178
    8.54000  1.36445440e+08 -178
    8.56000  1.36480069e+08 -178
    8.58000  1.36560233e+08 -178
    8.60000  1.36534211e+08 -178
    8.62000  1.36417151e+08 -178
    8.64000  1.36481987e+08 -178
    8.66000  1.36440833e+08 -178
    8.68000  1.36500859e+08 -178
    8.70000  1.36458249e+08 -178
    8.72000  1.36485038e+08 -178
    8.74000  1.36517430e+08 -178
    8.76000  1.36698107e+08 -178
    8.78000  1.36577568e+08 -178
    8.80000  1.36434382e+08 -179
    8.82000  1.36294265e+08 -179
    8.84000  1.36377528e+08 -179
    8.86000  1.36387467e+08 -179
    8.88000  1.36422314e+08 -179
    8.90000  1.36463369e+08 -179
    8.92000  1.36364859e+08 -179
    8.94000  1.36360591e+08 -179
    8.96000  1.36414616e+08 -179
    8.98000  1.36416075e+08 -179
    9.00000  1.36425460e+08 -179
    9.02000  1.36427148e+08 -179
    9.04000  1.36410713e+08 -179
    9.06000  1.36288106e+08 -179
    9.08000  1.36297931e+08 -179
    9.10000  1.36331906e+08 -179
    9.12000  1.36269997e+08 -179
    9.14000  1.36467965e+08 -179
    9.16000  1.36287674e+08 -179
    9.18000  1.36086435e+08 -179
    9.20000  1.36254683e+08 -179
    9.22000  1.36382863e+08 -179
    9.24000  1.36377035e+08 -179
    9.26000  1.36321212e+08 -180
