Category,Type,Model,Manufacturer,Physical Location Type,Physical Location,Assigned Locations,Status,Serial Number,No. of Units,Change Date,PO/Contract Number,FRD/Release Number
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB2,YKA (PS09),In Use,2342,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB3,YKA (PS09),In Use,2343,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB4,YKA (PS09),In Use,2344,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB6,YKA (PS09),In Use,2345,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB7,YKA (PS09),In Use,2347,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB8,YKA (PS09),In Use,2493,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB9,YKA (PS09),In Use,2348,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR1,YKA (PS09),In Use,1192,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR2,YKA (PS09),In Use,832,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR3,YKA (PS09),In Use,2567,1,30-SEP-2020,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR4,YKA (PS09),In Use,2498,1,18-MAY-2023,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR5,YKA (PS09),In Use,2349,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR6,YKA (PS09),In Use,2350,1,06-NOV-2012,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YKAW3,YKA (PS09),In Use,38532,1,06-NOV-2012,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YKAW3,YKA (PS09),In Use,18703,1,06-NOV-2012,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YKAW3,YKA (PS09),In Use,18702,1,06-NOV-2012,,
Seismometer,Feedback,CMG-3T 6000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,YKAW3,YKA (PS09),In Use,T36820,1,06-NOV-2012,2009-1767,0003
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YKAW1,YKA (PS09),In Use,48562,1,06-NOV-2012,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YKAW1,YKA (PS09),In Use,18701,1,06-NOV-2012,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YKAW1,YKA (PS09),In Use,38534,1,06-NOV-2012,,
Seismometer,Feedback,CMG-3T 6000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,YKAW1,YKA (PS09),In Use,T36839,1,06-NOV-2012,2009-1767,0003
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR7,YKA (PS09),In Use,2911,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR8,YKA (PS09),In Use,1466,1,06-NOV-2012,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAR9,YKA (PS09),In Use,954,1,06-NOV-2012,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAA0,ZALV (PS33),In Use,331,1,15-OCT-2006,,
Seismometer,Feedback,CMG-3TB 20000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ZAA0B,ZALV (PS33),In Use,T3K83,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAA1,ZALV (PS33),In Use,332,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAA2,ZALV (PS33),In Use,317,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAA3,ZALV (PS33),In Use,328,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAB1,ZALV (PS33),In Use,323,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAB2,ZALV (PS33),In Use,321,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAB3,ZALV (PS33),In Use,318,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAB4,ZALV (PS33),In Use,325,1,15-OCT-2006,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,ZAB5,ZALV (PS33),In Use,,1,15-OCT-2006,,
